name,phone,link
American Indian College Fund,(800) 776-3863,http://www.collegefund.org
Bank of North Dakota,(800) 472-2166,http://banknd.nd.gov
Carroll College,(406) 447-5423,http://www.carroll.edu
Chief Dull Knife College,(406) 447-6215,http://www.cdkc.edu
Dawson Community College,(406) 377-3396,http://www.dawson.edu/
Flathead Valley Community College,(406) 756-3849,http://www.fvcc.edu
Great Falls College Montana State University,(406) 771-4334,http://gfcmsu.edu
Great Lakes Educational Loan Services Inc,(888) 686-6919,http://www.mygreatlakes.org
Health Works Institute,(406) 582-1555,http://healthworks.edu
Helena College University of Montana,(406) 447-6900,http://www.umhelena.edu
Inceptia,,
Miles Community College,(406) 874-6100,http://www.milescc.edu
Montana State University - Billings,(406) 657-2188,http://www.msubillings.edu
Montana State University - Bozeman,(406) 994-2845,http://www.montana.edu
Montana State University-Northern,(406) 265-3787,http://www.msun.edu
Montana Tech of The University of Montana,(406) 496-4212,http://www.mtech.edu
Rocky Mountain College,(406) 657-1031,http://www.rocky.edu
Sallie Mae,(800) 472-5543,http://www.salliemae.com
Student Assistance Foundation,(406) 495-7390,http://www.safmt.org
The University of Montana - Missoula,(406) 243-5373,http://life.umt.edu/finaid
The University of Montana - Western,(406) 683-7511,http://www.umwestern.edu
University of Great Falls,(800) 854-9544,http://www.ugf.edu
Wells Fargo,(480) 704-3684,http://www.wellsfargo.com/student
